Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 4856, 600, 4, 856, STRAIGHT, 3, NORMAL
2222, 2513, 600, 1, -1487, TWO_PAIR, 7, NORMAL
3333, 3630, 600, 2, -370, STRAIGHT, 5, NORMAL
4444, 3427, 600, 4, -573, FULL_HOUSE, 6, NORMAL
5555, 4350, 600, 1, 350, ONE_PAIR, 4, NORMAL
6666, 4943, 600, 2, 943, TWO_PAIR, 2, NORMAL
7777, 1960, 600, 2, -2040, FULL_HOUSE, 8, NORMAL
8888, 6321, 600, 2, 2321, THREE_OF_A_KIND, 1, NORMAL
