Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 5771, 600, 6, 1771, STRAIGHT, 1, NORMAL
2222, 3287, 600, 7, -713, THREE_OF_A_KIND, 6, NORMAL
3333, 5210, 600, 4, 1210, FULL_HOUSE, 2, NORMAL
4444, 3788, 600, 5, -212, FULL_HOUSE, 5, NORMAL
5555, 4011, 600, 1, 11, TWO_PAIR, 3, NORMAL
6666, 3020, 600, 4, -980, TWO_PAIR, 7, NORMAL
7777, 2992, 600, 2, -1008, ONE_PAIR, 8, NORMAL
8888, 3921, 600, 6, -79, THREE_OF_A_KIND, 4, NORMAL
