Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 2172, 600, 3, -1828, THREE_OF_A_KIND, 8, NORMAL
2222, 4459, 600, 4, 459, THREE_OF_A_KIND, 4, NORMAL
3333, 5182, 600, 2, 1182, THREE_OF_A_KIND, 2, NORMAL
4444, 5500, 600, 4, 1500, TWO_PAIR, 1, NORMAL
5555, 4128, 600, 3, 128, THREE_OF_A_KIND, 5, NORMAL
6666, 3315, 600, 3, -685, TWO_PAIR, 6, NORMAL
7777, 4472, 600, 4, 472, FULL_HOUSE, 3, NORMAL
8888, 2772, 600, 3, -1228, TWO_PAIR, 7, NORMAL
