Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 8080, 600, 4, 4080, FULL_HOUSE, 1, NORMAL
2222, 2530, 600, 3, -1470, TWO_PAIR, 6, NORMAL
3333, 3530, 600, 1, -470, TWO_PAIR, 5, NORMAL
4444, 2000, 600, 6, -2000, FULL_HOUSE, 8, NORMAL
5555, 4020, 600, 3, 20, TWO_PAIR, 4, NORMAL
6666, 5140, 600, 2, 1140, ONE_PAIR, 2, NORMAL
7777, 2350, 600, 5, -1650, TWO_PAIR, 7, NORMAL
8888, 4350, 600, 2, 350, TWO_PAIR, 3, NORMAL
