Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3690, 600, 23, -310, FULL_HOUSE, 4, NORMAL
2222, 7150, 600, 25, 3150, FULL_HOUSE, 1, NORMAL
3333, 4790, 600, 17, 790, STRAIGHT, 3, NORMAL
4444, 1460, 600, 19, -2540, STRAIGHT, 8, NORMAL
5555, 3390, 600, 23, -610, FULL_HOUSE, 5, NORMAL
6666, 3310, 600, 25, -690, FLUSH, 6, NORMAL
7777, 2550, 600, 20, -1450, FULL_HOUSE, 7, NORMAL
8888, 5660, 600, 25, 1660, FLUSH, 2, NORMAL
