Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 2952, 600, 2, -1048, ONE_PAIR, 6, NORMAL
2222, 3002, 600, 2, -998, ONE_PAIR, 5, NORMAL
3333, 3476, 600, 3, -524, TWO_PAIR, 3, NORMAL
4444, 6611, 600, 3, 2611, TWO_PAIR, 2, NORMAL
5555, 8172, 600, 3, 4172, ONE_PAIR, 1, NORMAL
6666, 3417, 600, 3, -583, FULL_HOUSE, 4, NORMAL
7777, 2652, 600, 3, -1348, TWO_PAIR, 7, NORMAL
8888, 818, 600, 3, -3182, FOUR_OF_A_KIND, 8, NORMAL
