Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 2603, 600, 4, -1397, TWO_PAIR, 5, NORMAL
2222, 7192, 600, 4, 3192, STRAIGHT, 1, NORMAL
3333, 3211, 600, 5, -789, FLUSH, 4, NORMAL
4444, 1950, 600, 2, -2050, ONE_PAIR, 7, NORMAL
5555, 7014, 600, 4, 3014, FULL_HOUSE, 2, NORMAL
6666, 6415, 600, 4, 2415, FULL_HOUSE, 3, NORMAL
7777, 378, 600, 5, -3622, TWO_PAIR, 8, NORMAL
8888, 2577, 600, 4, -1423, TWO_PAIR, 6, NORMAL
