Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 7936, 600, 6, 3936, FULL_HOUSE, 1, NORMAL
2222, 0, 425, 6, -4000, THREE_OF_A_KIND, 8, NORMAL
3333, 3780, 600, 3, -220, TWO_PAIR, 4, NORMAL
4444, 5939, 600, 1, 1939, TWO_PAIR, 2, NORMAL
5555, 3453, 600, 2, -547, TWO_PAIR, 6, NORMAL
6666, 3642, 600, 4, -358, FULL_HOUSE, 5, NORMAL
7777, 4228, 600, 1, 228, THREE_OF_A_KIND, 3, NORMAL
8888, 3022, 600, 4, -978, FULL_HOUSE, 7, NORMAL
