Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 5322, 600, 4, 1322, FULL_HOUSE, 1, NORMAL
2222, 2378, 600, 5, -1622, TWO_PAIR, 8, NORMAL
3333, 4387, 600, 3, 387, ONE_PAIR, 4, NORMAL
4444, 3819, 600, 3, -181, STRAIGHT, 6, NORMAL
5555, 4472, 600, 2, 472, TWO_PAIR, 3, NORMAL
6666, 2980, 600, 3, -1020, STRAIGHT, 7, NORMAL
7777, 3988, 600, 5, -12, TWO_PAIR, 5, NORMAL
8888, 4654, 600, 6, 654, THREE_OF_A_KIND, 2, NORMAL
